Categoria,Categoria_num,COD. ESTADO,UF,ESTADO,c3.0.00.00.00.00,c3.1.00.00.00.00,c3.1.30.00.00.00,c3.1.35.00.00.00,c3.1.36.00.00.00,c3.1.45.00.00.00,c3.1.46.00.00.00,c3.1.70.00.00.00,c3.1.71.00.00.00,c3.1.73.00.00.00,c3.1.74.00.00.00,c3.1.75.00.00.00,c3.1.76.00.00.00,c3.1.90.00.00.00,c3.1.90.01.00.00,c3.1.90.03.00.00,c3.1.90.04.00.00,c3.1.90.04.01.00,c3.1.90.04.99.00,c3.1.90.05.00.00,c3.1.90.07.00.00,c3.1.90.11.00.00,c3.1.90.11.01.00,c3.1.90.11.99.00,c3.1.90.12.00.00,c3.1.90.13.00.00,c3.1.90.16.00.00,c3.1.90.17.00.00,c3.1.90.91.00.00,c3.1.90.92.00.00,c3.1.90.92.01.00,c3.1.90.92.03.00,c3.1.90.92.04.00,c3.1.90.92.05.00,c3.1.90.92.07.00,c3.1.90.92.11.00,c3.1.90.92.12.00,c3.1.90.92.13.00,c3.1.90.92.16.00,c3.1.90.92.17.00,c3.1.90.92.91.00,c3.1.90.92.94.00,c3.1.90.92.96.00,c3.1.90.92.99.00,c3.1.90.94.00.00,c3.1.90.94.01.00,c3.1.90.94.02.00,c3.1.90.94.03.00,c3.1.90.94.04.00,c3.1.90.94.06.00,c3.1.90.94.13.00,c3.1.90.94.99.00,c3.1.90.96.00.00,c3.1.90.99.00.00,c3.1.91.00.00.00,c3.1.91.04.00.00,c3.1.91.13.00.00,c3.1.91.91.00.00,c3.1.91.94.00.00,c3.1.91.96.00.00,c3.1.91.99.00.00,c3.1.95.00.00.00,c3.1.96.00.00.00,c3.1.99.00.00.00,c3.2.00.00.00.00,c3.2.71.00.00.00,c3.2.73.00.00.00,c3.2.74.00.00.00,c3.2.90.00.00.00,c3.2.95.00.00.00,c3.2.96.00.00.00,c3.2.99.00.00.00,c3.3.00.00.00.00,c3.3.20.00.00.00,c3.3.30.00.00.00,c3.3.30.30.00.00,c3.3.30.30.01.00,c3.3.30.30.99.00,c3.3.30.99.00.00,c3.3.31.00.00.00,c3.3.32.00.00.00,c3.3.35.00.00.00,c3.3.36.00.00.00,c3.3.40.00.00.00,c3.3.40.30.00.00,c3.3.40.30.01.00,c3.3.40.30.99.00,c3.3.40.41.00.00,c3.3.40.81.00.00,c3.3.40.81.51.00,c3.3.40.81.52.00,c3.3.40.81.53.00,c3.3.40.81.54.00,c3.3.40.81.99.00,c3.3.40.91.00.00,c3.3.40.92.00.00,c3.3.40.93.00.00,c3.3.40.99.00.00,c3.3.41.00.00.00,c3.3.41.41.00.00,c3.3.41.92.00.00,c3.3.41.99.00.00,c3.3.42.00.00.00,c3.3.45.00.00.00,c3.3.46.00.00.00,c3.3.50.00.00.00,c3.3.50.39.00.00,c3.3.50.39.36.00,c3.3.50.39.36.01,c3.3.50.39.36.02,c3.3.50.39.36.03,c3.3.50.39.36.99,c3.3.50.39.50.00,c3.3.50.41.00.00,c3.3.50.43.00.00,c3.3.50.99.00.00,c3.3.60.00.00.00,c3.3.70.00.00.00,c3.3.71.00.00.00,c3.3.72.00.00.00,c3.3.73.00.00.00,c3.3.74.00.00.00,c3.3.75.00.00.00,c3.3.76.00.00.00,c3.3.90.00.00.00,c3.3.90.04.00.00,c3.3.90.04.01.00,c3.3.90.04.01.99,c3.3.90.04.99.00,c3.3.90.08.00.00,c3.3.90.14.00.00,c3.3.90.15.00.00,c3.3.90.18.00.00,c3.3.90.19.00.00,c3.3.90.20.00.00,c3.3.90.30.00.00,c3.3.90.30.01.00,c3.3.90.30.09.00,c3.3.90.30.09.01,c3.3.90.30.09.02,c3.3.90.30.10.00,c3.3.90.30.11.00,c3.3.90.30.16.00,c3.3.90.30.17.00,c3.3.90.30.20.00,c3.3.90.30.21.00,c3.3.90.30.23.00,c3.3.90.30.28.00,c3.3.90.30.35.00,c3.3.90.30.36.00,c3.3.90.30.36.01,c3.3.90.30.36.02,c3.3.90.30.39.00,c3.3.90.30.99.00,c3.3.90.31.00.00,c3.3.90.32.00.00,c3.3.90.33.00.00,c3.3.90.34.00.00,c3.3.90.34.01.00,c3.3.90.35.00.00,c3.3.90.36.00.00,c3.3.90.36.08.00,c3.3.90.36.30.00,c3.3.90.36.99.00,c3.3.90.37.00.00,c3.3.90.38.00.00,c3.3.90.39.00.00,c3.3.90.39.17.00,c3.3.90.39.43.00,c3.3.90.39.44.00,c3.3.90.39.47.00,c3.3.90.39.50.00,c3.3.90.39.50.01,c3.3.90.39.50.02,c3.3.90.39.50.99,c3.3.90.39.99.00,c3.3.90.41.00.00,c3.3.90.46.00.00,c3.3.90.47.00.00,c3.3.90.48.00.00,c3.3.90.48.06.00,c3.3.90.48.07.00,c3.3.90.48.99.00,c3.3.90.49.00.00,c3.3.90.67.00.00,c3.3.90.83.00.00,c3.3.90.91.00.00,c3.3.90.92.00.00,c3.3.90.93.00.00,c3.3.90.95.00.00,c3.3.90.96.00.00,c3.3.90.99.00.00,c3.3.91.00.00.00,c3.3.91.04.00.00,c3.3.91.30.00.00,c3.3.91.30.09.00,c3.3.91.30.10.00,c3.3.91.30.35.00,c3.3.91.30.36.00,c3.3.91.30.99.00,c3.3.91.32.00.00,c3.3.91.39.00.00,c3.3.91.39.17.00,c3.3.91.39.50.00,c3.3.91.47.00.00,c3.3.91.91.00.00,c3.3.91.92.00.00,c3.3.91.93.00.00,c3.3.91.96.00.00,c3.3.91.97.00.00,c3.3.91.99.00.00,c3.3.93.00.00.00,c3.3.93.30.00.00,c3.3.93.32.00.00,c3.3.93.39.00.00,c3.3.94.00.00.00,c3.3.94.30.00.00,c3.3.94.32.00.00,c3.3.94.39.00.00,c3.3.95.00.00.00,c3.3.96.00.00.00,c3.3.99.00.00.00,c4.0.00.00.00.00,c4.4.00.00.00.00,c4.4.20.00.00.00,c4.4.30.00.00.00,c4.4.31.00.00.00,c4.4.32.00.00.00,c4.4.35.00.00.00,c4.4.36.00.00.00,c4.4.40.00.00.00,c4.4.41.00.00.00,c4.4.42.00.00.00,c4.4.45.00.00.00,c4.4.46.00.00.00,c4.4.50.00.00.00,c4.4.70.00.00.00,c4.4.71.00.00.00,c4.4.72.00.00.00,c4.4.73.00.00.00,c4.4.74.00.00.00,c4.4.75.00.00.00,c4.4.76.00.00.00,c4.4.90.00.00.00,c4.4.90.04.00.00,c4.4.90.04.02.00,c4.4.90.04.08.00,c4.4.90.14.00.00,c4.4.90.15.00.00,c4.4.90.17.00.00,c4.4.90.18.00.00,c4.4.90.20.00.00,c4.4.90.30.00.00,c4.4.90.30.09.00,c4.4.90.30.10.00,c4.4.90.30.35.00,c4.4.90.30.36.00,c4.4.90.30.99.00,c4.4.90.33.00.00,c4.4.90.35.00.00,c4.4.90.36.00.00,c4.4.90.36.30.00,c4.4.90.36.99.00,c4.4.90.39.00.00,c4.4.90.47.00.00,c4.4.90.51.00.00,c4.4.90.52.00.00,c4.4.90.52.08.00,c4.4.90.52.99.00,c4.4.90.61.00.00,c4.4.90.91.00.00,c4.4.90.92.00.00,c4.4.90.93.00.00,c4.4.90.99.00.00,c4.4.91.00.00.00,c4.4.91.39.00.00,c4.4.91.51.00.00,c4.4.91.52.00.00,c4.4.91.52.08.00,c4.4.91.52.99.00,c4.4.91.91.00.00,c4.4.91.99.00.00,c4.4.95.00.00.00,c4.4.96.00.00.00,c4.4.99.00.00.00,c4.5.00.00.00.00,c4.5.20.00.00.00,c4.5.35.00.00.00,c4.5.36.00.00.00,c4.5.40.00.00.00,c4.5.42.00.00.00,c4.5.45.00.00.00,c4.5.46.00.00.00,c4.5.70.00.00.00,c4.5.71.00.00.00,c4.5.72.00.00.00,c4.5.73.00.00.00,c4.5.74.00.00.00,c4.5.90.00.00.00,c4.5.90.61.00.00,c4.5.90.62.00.00,c4.5.90.63.00.00,c4.5.90.64.00.00,c4.5.90.65.00.00,c4.5.90.66.00.00,c4.5.90.67.00.00,c4.5.90.82.00.00,c4.5.90.83.00.00,c4.5.90.91.00.00,c4.5.90.92.00.00,c4.5.90.93.00.00,c4.5.90.99.00.00,c4.5.91.00.00.00,c4.5.91.61.00.00,c4.5.91.91.00.00,c4.5.91.92.00.00,c4.5.91.99.00.00,c4.5.99.00.00.00,c4.6.00.00.00.00,c4.6.35.00.00.00,c4.6.36.00.00.00,c4.6.45.00.00.00,c4.6.46.00.00.00,c4.6.71.00.00.00,c4.6.73.00.00.00,c4.6.74.00.00.00,c4.6.90.00.00.00,c4.6.99.00.00.00,cACDO000001,cACDO000002,cACDO000003,cACDO000004,cACDO000005,cACDO000006,cACDO000007
Dotação Inicial,1,12,AC,Acre,563312555.46,429358366.79,,,,,,,,,,,,403014774.05,,,42435766.06,42331519.85,104246.21,,,343137557.59,343137557.59,,210000.0,2406912.98,2869056.56,,9955480.86,1000000.0,,,,,,,,,,,,,,1000000.0,1000000.0,1000000.0,,,,,,,,,26343592.74,,26293592.74,,,,50000.0,,,,,,,,,,,,133954188.67,,,,,,,,,,,600000.0,375000.0,,375000.0,,,,,,,,,,,225000.0,,,,,,,,21257827.54,,,,,,,,405000.0,16352827.54,4500000.0,,,,,,,,,112096361.13,,,,,30000.0,95000.0,,,,,47245433.0,,,,,,,,,,,,,,,,,,47245433.0,,35000.0,4500000.0,,,,10000.0,,,10000.0,,,56500928.13,,,,,,,,,56500928.13,,,30000.0,300000.0,,,300000.0,,,,3010000.0,340000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3228000.0,3228000.0,,,,,,,,,,,,,,,,,,,,3228000.0,,,,,,,50000.0,,,,,,,,,,,,,,,1850000.0,995000.0,,995000.0,,14000.0,,200000.0,119000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566540555.46,,,,,,566540555.46
Dotação Inicial,1,27,AL,Alagoas,478217876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478217876.0,,,,,,,,,,,68567833.0,,,,,,,,,,,,,,,68567833.0,59102833.0,,9465000.0,,,,,,,,,,,,,,,,,,,,,,,409637543.0,,,,,,404490.0,,,,,13252356.0,,,,,,,,,,,,,,,,,,13252356.0,,143600.0,458197.0,,,,87608051.0,,,87608051.0,13430000.0,,276397032.0,,,,,,,,,276397032.0,,,17943817.0,,,,,,,,,,,,,,12500.0,,,,,,,,,,,,12500.0,,,,,,,,,,,,,,,,,,47673673.0,46673673.0,,,,,,,,,,,,,,,,,,,,46673673.0,,,,,,,,,,,,,,,,,,,,,,17629683.0,29043990.0,,29043990.0,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525891549.0,,10000.0,,10000.0,,525881549.0
Dotação Inicial,1,16,AP,Amapá,544001088.19,295245908.0,,,,,,,,,,,,295245908.0,,,38386145.0,38386145.0,,,,226566790.0,196566790.0,30000000.0,,30092952.0,,,200021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248755180.19,,17903348.0,17903348.0,17903348.0,,,,,,,469684.0,,,,469684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216822029.0,,,,,,190644.0,214445.0,,,,44773502.0,5572583.0,28792743.0,28792743.0,,,,,,,,,,,,,,,10408176.0,,747000.0,7995458.0,,,,1168620.0,518000.0,650620.0,,19604303.0,6210000.0,78436044.0,61424044.0,,,,17012000.0,1000000.0,16000000.0,12000.0,,47289459.0,,,5300000.0,2000000.0,3300000.0,,,,,92544.0,100010.0,4700000.0,,,,13560119.19,,13560119.19,,,,2700000.0,10860119.19,,,,,,,,,,,,,,,,,,,,,,,21635588.0,21635588.0,,,,,,,,,,,,,,,,,,,,21635588.0,,,,,,,,,,,,,,,,,,,,,,,21635588.0,13027.0,21622561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565636676.19,,20000000.0,,,20000000.0,545636676.19
Dotação Inicial,1,13,AM,Amazonas,720439898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720439898.0,,,,,,,,,,,2510494.0,,,,,,,,,,,,,,,2510494.0,2510494.0,,,,,,1648360.0,,,,,,,,1548360.0,100000.0,,,,,,,,,,716281044.0,,,,,,70000.0,,,,,9585394.0,,,,,,,,,,,,,,,,,,9585394.0,,,5257123.0,248174748.0,248174748.0,,,,,,13672961.0,,182426711.0,,,,,,,,,182426711.0,,,42000.0,,,,,,,,,,253558607.0,,,3493500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,,5000000.0,,,,,,,,,,,,,,,,,,,,,,4350000.0,650000.0,,650000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725439898.0,,,,,,725439898.0
Dotação Inicial,1,29,BA,Bahia,1782369720.0,37441000.0,,,,,,,37441000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744928720.0,100000.0,,,,,,,,,,58223000.0,,,,1400000.0,,,,,,,,,,,56823000.0,56823000.0,,,,,,600000.0,,,,,,,,,600000.0,,,,53778000.0,,,,,,1239237720.0,,,,,,802000.0,,,,,196197000.0,,,,,,,,,,,,,,,,,,196197000.0,,,492000.0,5100000.0,5100000.0,,,,,,179750000.0,,855288720.0,,,,,,,,,855288720.0,,,,1608000.0,,,1608000.0,,,,,,,,,,62222000.0,,,,,,,,,,,,,,,,,,62222000.0,,,,,,,,,,,330768000.0,137770834.0,132766834.0,200000.0,,,,,,,3557820.0,,,,1600000.0,,,,,,,,127409014.0,,,,,,,,,,,,,,,,,,,,,,50545000.0,75564014.0,,75564014.0,1300000.0,,,,,,,,,,,,,,,,5004000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5004000.0,,,,,,,,,,,1920140554.0,,62222000.0,,62222000.0,,1857918554.0
Dotação Inicial,1,23,CE,Ceará,1959300241.22,317731580.0,,,,,,,,,,,,317731580.0,,,,,,,,266637287.0,266637287.0,,,22007179.0,8215094.0,,,5000.0,,,,,,,,,,,,,,5000.0,,,,,,,,,20867020.0,,,,,,,,,,,,,,,,,,,,1641568661.22,,,,,,,,,,,260429529.26,,,,6260787.6,,,,,,,,,,,254168741.66,254168741.66,,,,,,432231575.0,407763793.0,,,,,,407763793.0,24467782.0,,,,,113806523.0,,,,,,835076033.96,,,,,,161097.0,,,,,90875650.25,,,,,,,,,,,,,,,,,,90875650.25,,118315958.0,147000.0,471012615.0,471012615.0,26315.0,81000.0,,,81000.0,74651455.75,,79761436.96,,,,,,,,,79761436.96,,,43506.0,,,,,,,,,,,,,,25000.0,,,,,,,,,,,,25000.0,,,,,,,,,,,,,,,,,,31853632.01,31853632.01,,,,,,,4382434.83,,,,,,,,,,,,,27471197.18,,,,,,,,,,,,,,,,,,,,8364868.67,,4182810.33,14923518.18,,14923518.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991153873.23,,,,,,1991153873.23
Dotação Inicial,1,53,DF,Distrito Federal,341371265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341371265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162645287.0,,,,,,,,,,162645287.0,,,,,,,,,178725978.0,,,,,,,,,,,57630725.0,,,,,,,,,,,,,,,,,,57630725.0,,,,,,,10000.0,,,10000.0,,,121085253.0,,,,,,,,,121085253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19369934.0,19369934.0,,,,,,,,,,,,,,,,,,,,19369934.0,,,,,,,,,,,,,,,,,,,,,,10579990.0,8789944.0,,8789944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360741199.0,,,,,,360741199.0
Dotação Inicial,1,32,ES,Espírito Santo,839852943.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839852943.99,3200000.0,,,,,,,,,,5451123.0,,,,250000.0,,,,,,,,,,,5201123.0,5201123.0,,,,,,396221071.0,395601071.0,395601071.0,,,,395601071.0,,,620000.0,,,5933262.0,,,,,,,427915890.99,,,,,,485524.0,,,,,75158375.99,757071.09,18671738.45,18671738.45,,14606.35,3929477.79,829038.01,350814.5,764072.45,142552.67,119070.98,356072.15,3202017.72,18871664.61,,18871664.61,230564.85,26919614.37,,110000.0,2861968.0,140458572.0,140458572.0,,782852.0,,,782852.0,55869063.0,,100458887.0,3821944.12,5919576.53,2316954.08,549692.46,68254018.62,,,68254018.62,19596701.19,,,58320.0,1524000.0,,,1524000.0,1408800.0,,,47992092.0,747437.0,,,,,1101597.0,,,,,,,,,1082847.0,1082847.0,,18750.0,,,,,,,,,,,,,,,30000.0,,,77508950.0,77508950.0,,,,,,,1979950.0,,,,,7800000.0,,,,,,,,67729000.0,,,,,,,,,,,,,,,,,,,,3300000.0,,54371000.0,10058000.0,5137554.62,4920445.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917361893.99,917361894.0,,,,,917361893.99
Dotação Inicial,1,52,GO,Goiás,1153691430.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153691430.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970917430.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970917430.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,182774000.0,,,65103569.05,65103569.05,,,,,,,,,,,,,,,,,,,,65103569.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65103569.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1218795000.0,,,,,,1218795000.0
Dotação Inicial,1,21,MA,Maranhão,1483544000.0,4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000.0,,,,,,4000000.0,,,,,,,,,,,,1479544000.0,,,,,,,,,,,97770000.0,,,,,,,,,,,,,,200000.0,97570000.0,,,97570000.0,,,,10350000.0,,,,,,,,,,10350000.0,,,,,,,,,1371424000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1371424000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5850000.0,5850000.0,,,,,,,,3000000.0,,,,1350000.0,,,,,,,,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1489394000.0,,11000000.0,,4000000.0,7000000.0,1478394000.0
