Categoria,COD. ESTADO,UF,ESTADO,c3.0.00.00.00.00,c3.1.00.00.00.00,c3.1.30.00.00.00,c3.1.35.00.00.00,c3.1.36.00.00.00,c3.1.45.00.00.00,c3.1.46.00.00.00,c3.1.70.00.00.00,c3.1.71.00.00.00,c3.1.73.00.00.00,c3.1.74.00.00.00,c3.1.75.00.00.00,c3.1.76.00.00.00,c3.1.90.00.00.00,c3.1.90.01.00.00,c3.1.90.03.00.00,c3.1.90.04.00.00,c3.1.90.04.01.00,c3.1.90.04.99.00,c3.1.90.05.00.00,c3.1.90.07.00.00,c3.1.90.11.00.00,c3.1.90.11.01.00,c3.1.90.11.99.00,c3.1.90.12.00.00,c3.1.90.13.00.00,c3.1.90.16.00.00,c3.1.90.17.00.00,c3.1.90.91.00.00,c3.1.90.92.00.00,c3.1.90.92.01.00,c3.1.90.92.03.00,c3.1.90.92.04.00,c3.1.90.92.05.00,c3.1.90.92.07.00,c3.1.90.92.11.00,c3.1.90.92.12.00,c3.1.90.92.13.00,c3.1.90.92.16.00,c3.1.90.92.17.00,c3.1.90.92.91.00,c3.1.90.92.94.00,c3.1.90.92.96.00,c3.1.90.92.99.00,c3.1.90.94.00.00,c3.1.90.94.01.00,c3.1.90.94.02.00,c3.1.90.94.03.00,c3.1.90.94.04.00,c3.1.90.94.06.00,c3.1.90.94.13.00,c3.1.90.94.99.00,c3.1.90.96.00.00,c3.1.90.99.00.00,c3.1.91.00.00.00,c3.1.91.04.00.00,c3.1.91.13.00.00,c3.1.91.91.00.00,c3.1.91.94.00.00,c3.1.91.96.00.00,c3.1.91.99.00.00,c3.1.95.00.00.00,c3.1.96.00.00.00,c3.1.99.00.00.00,c3.2.00.00.00.00,c3.2.71.00.00.00,c3.2.73.00.00.00,c3.2.74.00.00.00,c3.2.90.00.00.00,c3.2.95.00.00.00,c3.2.96.00.00.00,c3.2.99.00.00.00,c3.3.00.00.00.00,c3.3.20.00.00.00,c3.3.30.00.00.00,c3.3.30.30.00.00,c3.3.30.30.01.00,c3.3.30.30.99.00,c3.3.30.99.00.00,c3.3.31.00.00.00,c3.3.32.00.00.00,c3.3.35.00.00.00,c3.3.36.00.00.00,c3.3.40.00.00.00,c3.3.40.30.00.00,c3.3.40.30.01.00,c3.3.40.30.99.00,c3.3.40.41.00.00,c3.3.40.81.00.00,c3.3.40.81.51.00,c3.3.40.81.52.00,c3.3.40.81.53.00,c3.3.40.81.54.00,c3.3.40.81.99.00,c3.3.40.91.00.00,c3.3.40.92.00.00,c3.3.40.93.00.00,c3.3.40.99.00.00,c3.3.41.00.00.00,c3.3.41.41.00.00,c3.3.41.92.00.00,c3.3.41.99.00.00,c3.3.42.00.00.00,c3.3.45.00.00.00,c3.3.46.00.00.00,c3.3.50.00.00.00,c3.3.50.39.00.00,c3.3.50.39.36.00,c3.3.50.39.36.01,c3.3.50.39.36.02,c3.3.50.39.36.03,c3.3.50.39.36.99,c3.3.50.39.50.00,c3.3.50.41.00.00,c3.3.50.43.00.00,c3.3.50.99.00.00,c3.3.60.00.00.00,c3.3.70.00.00.00,c3.3.71.00.00.00,c3.3.72.00.00.00,c3.3.73.00.00.00,c3.3.74.00.00.00,c3.3.75.00.00.00,c3.3.76.00.00.00,c3.3.90.00.00.00,c3.3.90.04.00.00,c3.3.90.04.01.00,c3.3.90.04.01.99,c3.3.90.04.99.00,c3.3.90.08.00.00,c3.3.90.14.00.00,c3.3.90.15.00.00,c3.3.90.18.00.00,c3.3.90.19.00.00,c3.3.90.20.00.00,c3.3.90.30.00.00,c3.3.90.30.01.00,c3.3.90.30.09.00,c3.3.90.30.09.01,c3.3.90.30.09.02,c3.3.90.30.10.00,c3.3.90.30.11.00,c3.3.90.30.16.00,c3.3.90.30.17.00,c3.3.90.30.20.00,c3.3.90.30.21.00,c3.3.90.30.23.00,c3.3.90.30.28.00,c3.3.90.30.35.00,c3.3.90.30.36.00,c3.3.90.30.36.01,c3.3.90.30.36.02,c3.3.90.30.39.00,c3.3.90.30.99.00,c3.3.90.31.00.00,c3.3.90.32.00.00,c3.3.90.33.00.00,c3.3.90.34.00.00,c3.3.90.34.01.00,c3.3.90.35.00.00,c3.3.90.36.00.00,c3.3.90.36.08.00,c3.3.90.36.30.00,c3.3.90.36.99.00,c3.3.90.37.00.00,c3.3.90.38.00.00,c3.3.90.39.00.00,c3.3.90.39.17.00,c3.3.90.39.43.00,c3.3.90.39.44.00,c3.3.90.39.47.00,c3.3.90.39.50.00,c3.3.90.39.50.01,c3.3.90.39.50.02,c3.3.90.39.50.99,c3.3.90.39.99.00,c3.3.90.41.00.00,c3.3.90.46.00.00,c3.3.90.47.00.00,c3.3.90.48.00.00,c3.3.90.48.06.00,c3.3.90.48.07.00,c3.3.90.48.99.00,c3.3.90.49.00.00,c3.3.90.67.00.00,c3.3.90.83.00.00,c3.3.90.91.00.00,c3.3.90.92.00.00,c3.3.90.93.00.00,c3.3.90.95.00.00,c3.3.90.96.00.00,c3.3.90.99.00.00,c3.3.91.00.00.00,c3.3.91.04.00.00,c3.3.91.30.00.00,c3.3.91.30.09.00,c3.3.91.30.10.00,c3.3.91.30.35.00,c3.3.91.30.36.00,c3.3.91.30.99.00,c3.3.91.32.00.00,c3.3.91.39.00.00,c3.3.91.39.17.00,c3.3.91.39.50.00,c3.3.91.47.00.00,c3.3.91.91.00.00,c3.3.91.92.00.00,c3.3.91.93.00.00,c3.3.91.96.00.00,c3.3.91.97.00.00,c3.3.91.99.00.00,c3.3.93.00.00.00,c3.3.93.30.00.00,c3.3.93.32.00.00,c3.3.93.39.00.00,c3.3.94.00.00.00,c3.3.94.30.00.00,c3.3.94.32.00.00,c3.3.94.39.00.00,c3.3.95.00.00.00,c3.3.96.00.00.00,c3.3.99.00.00.00,c4.0.00.00.00.00,c4.4.00.00.00.00,c4.4.20.00.00.00,c4.4.30.00.00.00,c4.4.31.00.00.00,c4.4.32.00.00.00,c4.4.35.00.00.00,c4.4.36.00.00.00,c4.4.40.00.00.00,c4.4.41.00.00.00,c4.4.42.00.00.00,c4.4.45.00.00.00,c4.4.46.00.00.00,c4.4.50.00.00.00,c4.4.70.00.00.00,c4.4.71.00.00.00,c4.4.72.00.00.00,c4.4.73.00.00.00,c4.4.74.00.00.00,c4.4.75.00.00.00,c4.4.76.00.00.00,c4.4.90.00.00.00,c4.4.90.04.00.00,c4.4.90.04.02.00,c4.4.90.04.08.00,c4.4.90.14.00.00,c4.4.90.15.00.00,c4.4.90.17.00.00,c4.4.90.18.00.00,c4.4.90.20.00.00,c4.4.90.30.00.00,c4.4.90.30.09.00,c4.4.90.30.10.00,c4.4.90.30.35.00,c4.4.90.30.36.00,c4.4.90.30.99.00,c4.4.90.33.00.00,c4.4.90.35.00.00,c4.4.90.36.00.00,c4.4.90.36.30.00,c4.4.90.36.99.00,c4.4.90.39.00.00,c4.4.90.47.00.00,c4.4.90.51.00.00,c4.4.90.52.00.00,c4.4.90.52.08.00,c4.4.90.52.99.00,c4.4.90.61.00.00,c4.4.90.91.00.00,c4.4.90.92.00.00,c4.4.90.93.00.00,c4.4.90.99.00.00,c4.4.91.00.00.00,c4.4.91.39.00.00,c4.4.91.51.00.00,c4.4.91.52.00.00,c4.4.91.52.08.00,c4.4.91.52.99.00,c4.4.91.91.00.00,c4.4.91.99.00.00,c4.4.95.00.00.00,c4.4.96.00.00.00,c4.4.99.00.00.00,c4.5.00.00.00.00,c4.5.20.00.00.00,c4.5.35.00.00.00,c4.5.36.00.00.00,c4.5.40.00.00.00,c4.5.42.00.00.00,c4.5.45.00.00.00,c4.5.46.00.00.00,c4.5.70.00.00.00,c4.5.71.00.00.00,c4.5.72.00.00.00,c4.5.73.00.00.00,c4.5.74.00.00.00,c4.5.90.00.00.00,c4.5.90.61.00.00,c4.5.90.62.00.00,c4.5.90.63.00.00,c4.5.90.64.00.00,c4.5.90.65.00.00,c4.5.90.66.00.00,c4.5.90.67.00.00,c4.5.90.82.00.00,c4.5.90.83.00.00,c4.5.90.91.00.00,c4.5.90.92.00.00,c4.5.90.93.00.00,c4.5.90.99.00.00,c4.5.91.00.00.00,c4.5.91.61.00.00,c4.5.91.91.00.00,c4.5.91.92.00.00,c4.5.91.99.00.00,c4.5.99.00.00.00,c4.6.00.00.00.00,c4.6.35.00.00.00,c4.6.36.00.00.00,c4.6.45.00.00.00,c4.6.46.00.00.00,c4.6.71.00.00.00,c4.6.73.00.00.00,c4.6.74.00.00.00,c4.6.90.00.00.00,c4.6.99.00.00.00,cACDO000001,cACDO000002,cACDO000003,cACDO000004,cACDO000005,cACDO000006,cACDO000007
Dotação Inicial,12,AC,Acre,293370646.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293370646.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246489169.0,,,,,,208000.0,,,,,89112685.72,,,,,,,,,,,,,,,,,,89112685.72,,650000.0,16289000.0,,,,284000.0,,,284000.0,,,87347000.28,,,,,87347000.28,,,87347000.28,,,,36000.0,1100000.0,,,1100000.0,,,,2000000.0,2600000.0,,,,46862483.0,46881477.72,,,,,,,,,46881477.72,,46881477.72,,,,,,,,,,,,,,,,,,,19991999.0,19991999.0,,,,,,,,,,,,,,,,,,,,19991999.0,,,,,,,,,10000.0,,,,,10000.0,,,,,,,,17222164.0,2759835.0,,2759835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313362645.72,,,,,,313362645.72
Dotação Inicial,27,AL,Alagoas,291938577.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291938577.0,,,,,,,,,,,9512500.0,,,,,,,,,,,,,,,9512500.0,9512500.0,,,,,,,,,,,,,,,,,,,,,,,,,282426077.0,,,,,,189000.0,,,,,139761038.0,,,,,,,,,,,,,,,,,,139761038.0,,11100000.0,7100000.0,,,,38162819.0,,,38162819.0,12600000.0,,64262763.0,,,,,,,,,64262763.0,,,7750457.0,1500000.0,,,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8130000.0,8130000.0,,,,,,,,,,,,,,,,,,,,8130000.0,,,,,,,,,,,,,,,,,,,,,,,8130000.0,,8130000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300068577.0,,,,,,300068577.0
Dotação Inicial,16,AP,Amapá ,192968106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192968106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192968106.0,,,,,,1744840.0,,,,,82105686.0,,,,,,,,,,,,,,,,,,82105686.0,,2700000.0,12935185.0,,,,7456368.0,,,7456368.0,815596.0,,81910431.0,,,,,,,,,81910431.0,,,,3300000.0,,,3300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500849.0,12500849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500849.0,,5500849.0,7000000.0,,7000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205468955.0,,,,,,205468955.0
Dotação Inicial,13,AM,Amazonas,285943000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285943000.0,,,,,,,,,,,430000.0,,,,,,,,,,,,,,,430000.0,430000.0,,,,,,241000.0,,,,,,,,241000.0,,,,,,,,,,,285272000.0,,,,,,,,600000.0,,,17922000.0,,,,,,,,,,,,,,,,,,17922000.0,,3120000.0,15110000.0,,,772000.0,1884000.0,,,1884000.0,24751000.0,,212092000.0,,,,,,,,,212092000.0,,,,9000000.0,,,9000000.0,,,,,,,,,21000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000000.0,13000000.0,,,,,,,,,,,,,,,,,,,,13000000.0,,,,,,,,,,,,,,,,,,,,,,,13000000.0,,13000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298943000.0,,,,,,298943000.0
Dotação Inicial,29,BA,Bahia,1505062000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505062000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481062000.0,,,,,,,,,,,37207000.0,,,,,,,,,,,,,,,,,,37207000.0,,,,,,,,,,,,,1435932000.0,,,,,,,,,1435932000.0,,,,7923000.0,,,7923000.0,,,,,,,,,,24000000.0,,,,,,,,,24000000.0,,24000000.0,,,,,,,,,,,,,,,,,,,6926000.0,6926000.0,,,,,,,,,,,,,,,,,,,,6926000.0,,,,,,,,,,,,,,,,,,,,,,,6926000.0,,6926000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1511988000.0,,,,,,1511988000.0
Dotação Inicial,23,CE,Ceará,627365769.0,47395181.0,,,,,,,,,,,,47395181.0,,,,,,,,41821498.0,41821498.0,,,35802.0,5277881.0,,,10000.0,,,,,,,,,,,,,,10000.0,,,,,,,,,250000.0,,,,,,,,,,,,,,,,,,,,579970588.0,,,,,,,,,,,2040000.0,,,,,,,,,,,,,,,2040000.0,2040000.0,,,,,,262873690.0,262873690.0,262873690.0,,,,262873690.0,,,,,,,,,,,,,315051912.0,,,,,1865986.0,179840.0,,,,,157506655.0,,,,,,,,,,,,,,,,,,157506655.0,4087.0,16835087.0,9865491.0,14973875.0,14973875.0,451040.0,199592.0,,,199592.0,4922666.0,,107531354.0,,,,,,,,,107531354.0,,,313547.0,,,,,,,,402692.0,,,,,,4986.0,,,,,,,,,4986.0,,4986.0,,,,,,,,,,,,,,,,,,,39259418.0,39259418.0,,,,,,,,,,,,,,,,,,,,39259418.0,,,,,,,,,,,,,,,,,,,,,,14568388.0,24691030.0,,24691030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666625187.0,,,,,,666625187.0
Dotação Inicial,53,DF,Distrito Federal,415526275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415526275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82769405.0,72769405.0,,,,,,72769405.0,,,10000000.0,,,,,,,,,332756870.0,,,,,,,,,,,107357969.0,,,,,,,,,,,,,,,,,,107357969.0,,,,,,,,,,,,,225098901.0,,,,,,,,,225098901.0,,,,300000.0,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14667875.0,14667875.0,,,,,,,,,,,,,,,,,,,,14667875.0,,,,,,,,,,,,,,,,,,,,,,10000.0,14657875.0,,14657875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430194150.0,,,,,,430194150.0
Dotação Inicial,32,ES,Espírito Santo,585433665.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585433665.97,4140000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409385784.0,409385784.0,409385784.0,,,,409385784.0,,,,,,,,,,,,,170970881.97,,,,,,,,,,,61309280.98,23758.88,12817540.5,12817540.5,,,1870280.64,131054.47,7037.37,290925.02,41881.36,274408.88,1644064.49,10396763.62,17824967.93,,17824967.93,4777.85,15981819.97,,3060000.0,890000.0,,,,2956440.99,985480.33,985480.33,985480.33,,,100396275.0,793564.45,436783.79,65798.18,28779.66,83731116.81,,,83731116.81,15340232.11,,,,1500000.0,,,1500000.0,,,,,50000.0,808885.0,,,,937000.0,,,,,,,,,937000.0,468500.0,468500.0,,,,,,,,,,,,,,,,,,,22875115.07,22875115.07,,,,,,,,,,,,,,,,,,,,22875115.07,,,,,,,,,,,,,,,,,,,,,,15097226.0,7777889.07,7342793.25,435095.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608308781.04,,,,,,608308781.04
Dotação Inicial,52,GO,Goiás,105341000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105341000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105341000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105341000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820000.0,1820000.0,,,,,,,,,,,,,,,,,,,,1820000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107161000.0,,,,,,107161000.0
Dotação Inicial,21,MA,Maranhão,331068273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331068273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331068273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331068273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331068273.0,,,,,,331068273.0
