Categoria,COD. ESTADO,UF,ESTADO,c3.0.00.00.00.00,c3.1.00.00.00.00,c3.1.30.00.00.00,c3.1.35.00.00.00,c3.1.36.00.00.00,c3.1.45.00.00.00,c3.1.46.00.00.00,c3.1.70.00.00.00,c3.1.71.00.00.00,c3.1.73.00.00.00,c3.1.74.00.00.00,c3.1.75.00.00.00,c3.1.76.00.00.00,c3.1.90.00.00.00,c3.1.90.01.00.00,c3.1.90.03.00.00,c3.1.90.04.00.00,c3.1.90.04.01.00,c3.1.90.04.99.00,c3.1.90.05.00.00,c3.1.90.07.00.00,c3.1.90.11.00.00,c3.1.90.11.01.00,c3.1.90.11.99.00,c3.1.90.12.00.00,c3.1.90.13.00.00,c3.1.90.16.00.00,c3.1.90.17.00.00,c3.1.90.91.00.00,c3.1.90.92.00.00,c3.1.90.92.01.00,c3.1.90.92.03.00,c3.1.90.92.04.00,c3.1.90.92.05.00,c3.1.90.92.07.00,c3.1.90.92.11.00,c3.1.90.92.12.00,c3.1.90.92.13.00,c3.1.90.92.16.00,c3.1.90.92.17.00,c3.1.90.92.91.00,c3.1.90.92.94.00,c3.1.90.92.96.00,c3.1.90.92.99.00,c3.1.90.94.00.00,c3.1.90.94.01.00,c3.1.90.94.02.00,c3.1.90.94.03.00,c3.1.90.94.04.00,c3.1.90.94.06.00,c3.1.90.94.13.00,c3.1.90.94.99.00,c3.1.90.96.00.00,c3.1.90.99.00.00,c3.1.91.00.00.00,c3.1.91.04.00.00,c3.1.91.13.00.00,c3.1.91.91.00.00,c3.1.91.94.00.00,c3.1.91.96.00.00,c3.1.91.99.00.00,c3.1.95.00.00.00,c3.1.96.00.00.00,c3.1.99.00.00.00,c3.2.00.00.00.00,c3.2.71.00.00.00,c3.2.73.00.00.00,c3.2.74.00.00.00,c3.2.90.00.00.00,c3.2.95.00.00.00,c3.2.96.00.00.00,c3.2.99.00.00.00,c3.3.00.00.00.00,c3.3.20.00.00.00,c3.3.30.00.00.00,c3.3.30.30.00.00,c3.3.30.30.01.00,c3.3.30.30.99.00,c3.3.30.99.00.00,c3.3.31.00.00.00,c3.3.32.00.00.00,c3.3.35.00.00.00,c3.3.36.00.00.00,c3.3.40.00.00.00,c3.3.40.30.00.00,c3.3.40.30.01.00,c3.3.40.30.99.00,c3.3.40.41.00.00,c3.3.40.81.00.00,c3.3.40.81.51.00,c3.3.40.81.52.00,c3.3.40.81.53.00,c3.3.40.81.54.00,c3.3.40.81.99.00,c3.3.40.91.00.00,c3.3.40.92.00.00,c3.3.40.93.00.00,c3.3.40.99.00.00,c3.3.41.00.00.00,c3.3.41.41.00.00,c3.3.41.92.00.00,c3.3.41.99.00.00,c3.3.42.00.00.00,c3.3.45.00.00.00,c3.3.46.00.00.00,c3.3.50.00.00.00,c3.3.50.39.00.00,c3.3.50.39.36.00,c3.3.50.39.36.01,c3.3.50.39.36.02,c3.3.50.39.36.03,c3.3.50.39.36.99,c3.3.50.39.50.00,c3.3.50.41.00.00,c3.3.50.43.00.00,c3.3.50.99.00.00,c3.3.60.00.00.00,c3.3.70.00.00.00,c3.3.71.00.00.00,c3.3.72.00.00.00,c3.3.73.00.00.00,c3.3.74.00.00.00,c3.3.75.00.00.00,c3.3.76.00.00.00,c3.3.90.00.00.00,c3.3.90.04.00.00,c3.3.90.04.01.00,c3.3.90.04.01.99,c3.3.90.04.99.00,c3.3.90.08.00.00,c3.3.90.14.00.00,c3.3.90.15.00.00,c3.3.90.18.00.00,c3.3.90.19.00.00,c3.3.90.20.00.00,c3.3.90.30.00.00,c3.3.90.30.01.00,c3.3.90.30.09.00,c3.3.90.30.09.01,c3.3.90.30.09.02,c3.3.90.30.10.00,c3.3.90.30.11.00,c3.3.90.30.16.00,c3.3.90.30.17.00,c3.3.90.30.20.00,c3.3.90.30.21.00,c3.3.90.30.23.00,c3.3.90.30.28.00,c3.3.90.30.35.00,c3.3.90.30.36.00,c3.3.90.30.36.01,c3.3.90.30.36.02,c3.3.90.30.39.00,c3.3.90.30.99.00,c3.3.90.31.00.00,c3.3.90.32.00.00,c3.3.90.33.00.00,c3.3.90.34.00.00,c3.3.90.34.01.00,c3.3.90.35.00.00,c3.3.90.36.00.00,c3.3.90.36.08.00,c3.3.90.36.30.00,c3.3.90.36.99.00,c3.3.90.37.00.00,c3.3.90.38.00.00,c3.3.90.39.00.00,c3.3.90.39.17.00,c3.3.90.39.43.00,c3.3.90.39.44.00,c3.3.90.39.47.00,c3.3.90.39.50.00,c3.3.90.39.50.01,c3.3.90.39.50.02,c3.3.90.39.50.99,c3.3.90.39.99.00,c3.3.90.41.00.00,c3.3.90.46.00.00,c3.3.90.47.00.00,c3.3.90.48.00.00,c3.3.90.48.06.00,c3.3.90.48.07.00,c3.3.90.48.99.00,c3.3.90.49.00.00,c3.3.90.67.00.00,c3.3.90.83.00.00,c3.3.90.91.00.00,c3.3.90.92.00.00,c3.3.90.93.00.00,c3.3.90.95.00.00,c3.3.90.96.00.00,c3.3.90.99.00.00,c3.3.91.00.00.00,c3.3.91.04.00.00,c3.3.91.30.00.00,c3.3.91.30.09.00,c3.3.91.30.10.00,c3.3.91.30.35.00,c3.3.91.30.36.00,c3.3.91.30.99.00,c3.3.91.32.00.00,c3.3.91.39.00.00,c3.3.91.39.17.00,c3.3.91.39.50.00,c3.3.91.47.00.00,c3.3.91.91.00.00,c3.3.91.92.00.00,c3.3.91.93.00.00,c3.3.91.96.00.00,c3.3.91.97.00.00,c3.3.91.99.00.00,c3.3.93.00.00.00,c3.3.93.30.00.00,c3.3.93.32.00.00,c3.3.93.39.00.00,c3.3.94.00.00.00,c3.3.94.30.00.00,c3.3.94.32.00.00,c3.3.94.39.00.00,c3.3.95.00.00.00,c3.3.96.00.00.00,c3.3.99.00.00.00,c4.0.00.00.00.00,c4.4.00.00.00.00,c4.4.20.00.00.00,c4.4.30.00.00.00,c4.4.31.00.00.00,c4.4.32.00.00.00,c4.4.35.00.00.00,c4.4.36.00.00.00,c4.4.40.00.00.00,c4.4.41.00.00.00,c4.4.42.00.00.00,c4.4.45.00.00.00,c4.4.46.00.00.00,c4.4.50.00.00.00,c4.4.70.00.00.00,c4.4.71.00.00.00,c4.4.72.00.00.00,c4.4.73.00.00.00,c4.4.74.00.00.00,c4.4.75.00.00.00,c4.4.76.00.00.00,c4.4.90.00.00.00,c4.4.90.04.00.00,c4.4.90.04.02.00,c4.4.90.04.08.00,c4.4.90.14.00.00,c4.4.90.15.00.00,c4.4.90.17.00.00,c4.4.90.18.00.00,c4.4.90.20.00.00,c4.4.90.30.00.00,c4.4.90.30.09.00,c4.4.90.30.10.00,c4.4.90.30.35.00,c4.4.90.30.36.00,c4.4.90.30.99.00,c4.4.90.33.00.00,c4.4.90.35.00.00,c4.4.90.36.00.00,c4.4.90.36.30.00,c4.4.90.36.99.00,c4.4.90.39.00.00,c4.4.90.47.00.00,c4.4.90.51.00.00,c4.4.90.52.00.00,c4.4.90.52.08.00,c4.4.90.52.99.00,c4.4.90.61.00.00,c4.4.90.91.00.00,c4.4.90.92.00.00,c4.4.90.93.00.00,c4.4.90.99.00.00,c4.4.91.00.00.00,c4.4.91.39.00.00,c4.4.91.51.00.00,c4.4.91.52.00.00,c4.4.91.52.08.00,c4.4.91.52.99.00,c4.4.91.91.00.00,c4.4.91.99.00.00,c4.4.95.00.00.00,c4.4.96.00.00.00,c4.4.99.00.00.00,c4.5.00.00.00.00,c4.5.20.00.00.00,c4.5.35.00.00.00,c4.5.36.00.00.00,c4.5.40.00.00.00,c4.5.42.00.00.00,c4.5.45.00.00.00,c4.5.46.00.00.00,c4.5.70.00.00.00,c4.5.71.00.00.00,c4.5.72.00.00.00,c4.5.73.00.00.00,c4.5.74.00.00.00,c4.5.90.00.00.00,c4.5.90.61.00.00,c4.5.90.62.00.00,c4.5.90.63.00.00,c4.5.90.64.00.00,c4.5.90.65.00.00,c4.5.90.66.00.00,c4.5.90.67.00.00,c4.5.90.82.00.00,c4.5.90.83.00.00,c4.5.90.91.00.00,c4.5.90.92.00.00,c4.5.90.93.00.00,c4.5.90.99.00.00,c4.5.91.00.00.00,c4.5.91.61.00.00,c4.5.91.91.00.00,c4.5.91.92.00.00,c4.5.91.99.00.00,c4.5.99.00.00.00,c4.6.00.00.00.00,c4.6.35.00.00.00,c4.6.36.00.00.00,c4.6.45.00.00.00,c4.6.46.00.00.00,c4.6.71.00.00.00,c4.6.73.00.00.00,c4.6.74.00.00.00,c4.6.90.00.00.00,c4.6.99.00.00.00,cACDO000001,cACDO000002,cACDO000003,cACDO000004,cACDO000005,cACDO000006,cACDO000007
Dotação Inicial,12,AC,Acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dotação Inicial,27,AL,Alagoas,395087134.0,374668686.0,,,,,,,,,,,,322842515.0,,,,,,,,321002515.0,,321002515.0,,1840000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51826171.0,,51826171.0,,,,,,,,,,,,,,,,20418448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20293348.0,,,,,,452420.0,,,,,4200741.0,,,,,,,,,,,,,,,,,,4200741.0,,63000.0,485167.0,,,,1036042.0,,,1036042.0,1663795.0,,12155982.0,,,,,,,,,12155982.0,,,212201.0,,,,,24000.0,,,,,,,,,125100.0,,,,,,,,,,,,125100.0,,,,,,,,,,,,,,,,,,1203750.0,1103750.0,,,,,,,,,,,,,,,,,,,,1103750.0,,,,,,,,,,,,,,,,,,,,,,,1103750.0,,1103750.0,,,,,,,,,,,,,,,,,100000.0,,,,,,,,,,,,,100000.0,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,396290884.0,,3545863.0,,3545863.0,,392745021.0
Dotação Inicial,16,AP,Amapá ,125184876.0,125184876.0,,,,,,,,,,,,100000000.0,,,,,,,,100000000.0,100000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25184876.0,25184876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125184876.0,,,,,,125184876.0
Dotação Inicial,13,AM,Amazonas,1021394923.0,899165000.0,,,,,,,,,,,,795203296.0,,,40988791.0,,40988791.0,,,748983829.0,,748983829.0,,5217269.0,13407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,103961704.0,,103961704.0,,,,,,,,,,,,,,,,122229923.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120842781.0,10000.0,,,10000.0,44666.0,163020.0,,642878.0,,,3359644.0,,,,,,,,,,,,,,,,,,3359644.0,,,418989.0,,,,,,,,9837843.0,,49895934.0,,,,,,,,,49895934.0,,19202456.0,187501.0,,,,,,,,,,29785464.0,,,7294386.0,1387142.0,,,,,,,,,,,,,,,,,,1387142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021394923.0,,,,,,1021394923.0
Dotação Inicial,29,BA,Bahia,1547184000.0,1331510000.0,,,,,,,,,,,,1089942000.0,,,15237000.0,,15237000.0,29000.0,,1044788000.0,,1044788000.0,,23953000.0,1591000.0,,,,,,,,,,,,,,,,,,,,,,,,,,4344000.0,,241568000.0,,241568000.0,,,,,,,,,,,,,,,,215674000.0,,,,,,,,,,,24000.0,,,,,,,,,,,,,,,24000.0,24000.0,,,,,,,,,,,,,,,,,,,,,,,,,215650000.0,,,,,754000.0,878000.0,,43200000.0,,,1441000.0,,,,,,,,,,,,,,,,,,1441000.0,,,759000.0,6756000.0,6756000.0,430000.0,3071000.0,,,3071000.0,20650000.0,,113362000.0,,,,,,,,,113362000.0,,,11198000.0,,,,,585000.0,,,,,,,,12566000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15415000.0,15415000.0,,,,,,,,,,,,,,,,,,,,15415000.0,,,,,,,,,,,,,,,,,,,,,,,9415000.0,,9415000.0,,,,,6000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1562599000.0,,29000.0,29000.0,,,1562570000.0
Dotação Inicial,23,CE,Ceará,465899354.95,331734606.0,,,,,,,,,,,,249113966.0,,,,,,700.0,,206378130.0,206378130.0,,,100000.0,35486154.0,,,7148106.0,,,,,,,,,,,,,,7148106.0,,,,,,,,,876.0,,82620640.0,,82620640.0,,,,,,,,500.0,,,,500.0,,,,134164248.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131774148.95,,,,,,507911.0,,437730.0,,,12604465.0,,,,,,,,,,,,,,,,,,12604465.0,,,734344.0,8212053.0,8212053.0,,18321918.0,,,18321918.0,62013582.0,,19303356.95,,,,,,,,,19303356.95,,7321800.0,2301989.0,,,,,,,,,15000.0,,,,,2390100.0,,,,,,,,,2389600.0,,2389600.0,500.0,,,,,,,,,,,,,,,,,,3895575.71,3795575.71,,,,,,,,,,,,,,,,,,,,3795575.71,,,,,,,,,1129403.8,,,,,1129403.8,,537489.0,68080.0,,68080.0,68583.99,5808.0,1013728.98,972481.94,,972481.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,,,,,,,,100000.0,,469794930.66,,2506291.98,700.0,2391308.0,114283.98,467288638.68
Dotação Inicial,53,DF,Distrito Federal,1813019606.0,1326241595.0,,,,,,,,,,,,1129649925.0,,,512281.0,,512281.0,,,1017444954.0,,1017444954.0,,2561690.0,109131000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,196591670.0,,196591670.0,,,,,,,,,,,,,,,,486778011.0,1258471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,,,,,,,,,,100000.0,,,,,,,,,485419540.0,,,,,2400416.0,80000.0,,,,,6850000.0,,,,,,,,,,,,,,,,,,6850000.0,,1000.0,135000.0,,,783156.0,21000.0,,,21000.0,214000000.0,,135964936.0,,,,,,,,,135964936.0,,109616933.0,5000.0,,,,,15562099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4482500.0,4482500.0,,,,,,,,,,,,,,,,,,,,4482500.0,,,,,,,,,,,,,,,,,,,,,,300000.0,4182500.0,,4182500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1817502106.0,,,,,,1817502106.0
Dotação Inicial,32,ES,Espírito Santo,708182244.99,629414475.0,,,,,,,,,,,,567064475.0,,,170866000.0,135143563.07,35722436.93,1000.0,65000.0,375366475.0,23839519.99,351526955.01,,110000.0,725000.0,,,17501000.0,573429.31,,2031626.52,1567195.49,,,,62596.08,,,,766214.13,,12499938.47,430000.0,430000.0,,,,,,,2000000.0,,62350000.0,,62290000.0,,,60000.0,,,,,697831.0,,,,697831.0,,,,78069938.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,,,,,,,,,100000.0,,,,,,,,,,73735438.99,,,,,,844000.0,,,10000.0,,3111164.98,581736.93,1607.43,1607.43,,,,601353.25,51854.41,64129.52,130395.56,26249.65,1932.72,27273.43,26951.59,,26951.59,98705.69,1498974.8,,,912192.0,,,,4450780.0,2455465.15,403.62,1994911.23,8033528.0,,23628177.01,718790.98,1813986.51,287098.39,546402.65,1661724.21,,,1661724.21,18600174.27,,31208000.0,290000.0,,,,,1007597.0,,,,140000.0,100000.0,,,,4234500.0,,,,,,,,,4226000.0,4226000.0,,8500.0,,,,,,,,,,,,,,,,,,21124620.0,1400000.0,,,,,,,,,,,,,,,,,,,,1400000.0,,,,,,,,,,,,,,,,,,,,,,,1400000.0,1929.89,1398070.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19724620.0,,,,,,,,19724620.0,,729306864.99,729306865.0,2141624.8,2141624.8,,,727165240.19
Dotação Inicial,52,GO,Goiás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dotação Inicial,21,MA,Maranhão,262292000.0,190432000.0,,,,,,,,,,,,190432000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190432000.0,,,,,,,,,,,,,,,,,,,71860000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69860000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69860000.0,2000000.0,,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262792000.0,,,,,,262792000.0
